name,part_number,manufacturer_id,price,installation_difficulty,installation_time,symptoms,product_types,replacement_parts,manufacturer,availability,video_url,product_url
General Electric Dishwasher Single Speed Drain Pump Kit,PS16219695,WD19X25187,100.83,,,Not draining | Leaking | Noisy,Dishwasher.,"AP6993956, WD19X25180, WD26X10060, WD26X20423, WD26X20740, WD26X21254, WD26X21697, WD26X23236, WD35X10384, WD35X20553, WD35X20878",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16219695-GE-WD19X25187-Dishwasher-Single-Speed-Drain-Pump-Kit.htm?SourceCode=18
General Electric Dishwasher Wash Pump Service Kit,PS12741248,WD19X25700,121.2,,,Leaking | Not cleaning dishes properly,Dishwasher.,"WD19X25460, WD19X26055, WD19X26056",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12741248-GE-WD19X25700-WASH-PUMP-SERVICE-KIT.htm?SourceCode=18
General Electric Dishwasher Circulation Pump,PS11772000,WD26X23258,131.95,,,Not cleaning dishes properly | Leaking | Will Not Start | Will not fill with water,Dishwasher.,"WD26X22518, WD26X22826",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11772000-GE-WD26X23258-Circulation-Pump.htm?SourceCode=18
General Electric Dishwasher Sump,PS959014,WD18X10026,43.95,,,Leaking | Not cleaning dishes properly | Not draining,Dishwasher.,"AP3728341, 1088559",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS959014-GE-WD18X10026-Dishwasher-Sump.htm?SourceCode=18
General Electric Dishwasher Wash Pump Service Kit,PS16226068,WD19X27178,79.33,,,,Dishwasher.,WD19X26918,GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16226068-GE-WD19X27178-WASH-PUMP-SERVICE-KIT.htm?SourceCode=18
General Electric Dishwasher Drain Pump Asm,PS12582711,WD19X24651,65.29,,,Not draining,Dishwasher.,,GE,In Stock,https://www.youtube.com/watch?v=xZY_PIp1YRw,https://www.partselect.com/PS12582711-GE-WD19X24651-DRAIN-PUMP-ASM.htm?SourceCode=18
General Electric Dishwasher Pump And Motor Assembly,PS3486941,WD26X10051,161.23,,,Not draining,Dishwasher.,"AP4980659, 1811038, WD26X10035, WD26X10051X",GE,In Stock,https://www.youtube.com/watch?v=OwSGWsYvxHg,https://www.partselect.com/PS3486941-GE-WD26X10051-Dishwasher-Pump-And-Motor-Assembly.htm?SourceCode=18
General Electric Dishwasher Inlet Sump,PS259528,WD18X10008,46.95,,,Leaking | Not cleaning dishes properly | Not draining,Dishwasher.,"AP3140329, 943448, WD18X10011",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS259528-GE-WD18X10008-Dishwasher-Inlet-Sump.htm?SourceCode=18
General Electric Dishwasher Main Control Board,PS16873737,WD21X32165,89.95,,,Will Not Start,Dishwasher.,"WD21X24498, WD21X25198, WD21X25732",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16873737-GE-WD21X32165-Main-Control-Board.htm?SourceCode=18
General Electric Dishwasher Configured User Interface Control Board,PS17137058,WD21X31902C,218.15,,,Will Not Start,Dishwasher.,"WD21X22175, WD21X22236, WD21X22237, WD21X22366, WD21X22804, WD21X22955, WD21X22956, WD21X23462, WD21X23702, WD21X23709, WD21X26178, WD21X26179, WD21X31902, WD21X32000",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS17137058-GE-WD21X31902C-Configured-User-Interface-Control-Board.htm?SourceCode=18
General Electric Dishwasher Configured Ui Board,PS16762507,WD21X31909,72.22,,,Will Not Start,Dishwasher.,"WD21X24821, WD21X25729, WD21X26182, WD21X32001",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16762507-GE-WD21X31909-CONFIGURED-UI-BOARD.htm?SourceCode=18
General Electric Dishwasher Configured Ui Board,PS16762502,WD21X31904,76.39,,,Will Not Start,Dishwasher.,"WD21X24825, WD21X25728, WD21X26183, WD21X32002",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16762502-GE-WD21X31904-CONFIGURED-UI-BOARD.htm?SourceCode=18
General Electric Dishwasher Configured Ui Board,PS16762508,WD21X31910,133.81,,,Will Not Start,Dishwasher.,"WD21X10499, WD21X10502, WD21X10503, WD21X10513, WD21X10522, WD21X10535, WD21X10536, WD21X10538, WD21X10546, WD21X21919, WD21X22215, WD21X22238, WD21X22239, WD21X22368, WD21X22806, WD21X23003, WD21X23097, WD21X23461, WD21X23701, WD21X23705 ... Show more",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16762508-GE-WD21X31910-CONFIGURED-UI-BOARD.htm?SourceCode=18
General Electric Dishwasher Configured Ui Board,PS16762497,WD21X31898,75.41,,,Will Not Start,Dishwasher.,"WD21X24824, WD21X25726, WD21X26185, WD21X32006",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16762497-GE-WD21X31898-CONFIGURED-UI-BOARD.htm?SourceCode=18
General Electric Dishwasher 4.1 Amp Control Board Fuse,PS12743197,WD21X25696,13.95,,,Will Not Start,Dishwasher.,WD21X24482,GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12743197-GE-WD21X25696-4-1-Amp-Control-Board-Fuse.htm?SourceCode=18
General Electric Dishwasher Configured Ui Board,PS16762498,WD21X31899,115.38,,,Will Not Start,Dishwasher.,"WD21X10501, WD21X10512, WD21X10521, WD21X10534, WD21X10537, WD21X20067, WD21X20723, WD21X21918, WD21X22214, WD21X22235, WD21X22365, WD21X22803, WD21X22960, WD21X23463, WD21X23703, WD21X32003",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16762498-GE-WD21X31899-CONFIGURED-UI-BOARD.htm?SourceCode=18
General Electric Dishwasher Configured Service Machine Control Board,PS16873735,WD21X32163,130.9,,,Will Not Start,Dishwasher.,"WD21X25099, WD21X25106, WD21X25207, WD21X25730",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS16873735-GE-WD21X32163-CONFIGURED-SERVICE-MACHINE-CONTROL-BOARD.htm?SourceCode=18
General Electric Dishwasher Configured Ui Board,PS16762506,WD21X31908,75.41,,,Will Not Start,Dishwasher.,"WD21X24823, WD21X25727, WD21X26184, WD21X31998",GE,In Stock,,https://www.partselect.com/PS16762506-GE-WD21X31908-CONFIGURED-UI-BOARD.htm?SourceCode=18
General Electric Dishwasher Ultra Fine Filter Kit,PS12342852,WD49X24057,32.95,,,Not cleaning dishes properly,Dishwasher.,"AP6285308, WD12X10416, WD12X20107, WD12X20340, WD12X20549, WD12X21676, WD12X21976, WD12X22560",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12342852-GE-WD49X24057-Dishwasher-Ultra-Fine-Filter-Kit.htm?SourceCode=18
General Electric Dishwasher User Cleanable Fine Filter And Basket Assembly,PS16217023,WD12X25995,31.95,,,,Dishwasher.,,GE,In Stock,,https://www.partselect.com/PS16217023-GE-WD12X25995-User-Cleanable-Fine-Filter-And-Basket-Assembly.htm?SourceCode=18
General Electric Dishwasher Plastic Course Filter,PS12741267,WD22X25465,13.95,,,,Dishwasher.,,GE,In Stock,,https://www.partselect.com/PS12741267-GE-WD22X25465-PLASTIC-COURSE-FILTER.htm?SourceCode=18
General Electric Dishwasher Ball Filterorange,PS4704215,WD12X10408,25.95,,,Not draining,Dishwasher.,"WD12X10246, WD12X10467",GE,In Stock,,https://www.partselect.com/PS4704215-GE-WD12X10408-Dishwasher-Ball-Filterorange.htm?SourceCode=18
General Electric Dishwasher Vent Filter,PS8756365,WD24X10057,12.95,,,,Dishwasher.,,GE,In Stock,,https://www.partselect.com/PS8756365-GE-WD24X10057-VENT-FILTER.htm?SourceCode=18
General Electric Dishwasher Fine Filter,PS958919,WD12X10109,42.95,,,Not cleaning dishes properly | Not draining,Dishwasher.,"AP3794323, 1088479, WD12X10050",GE,In Stock,https://www.youtube.com/watch?v=3ONSoFb1x5o,https://www.partselect.com/PS958919-GE-WD12X10109-Dishwasher-Fine-Filter.htm?SourceCode=18
General Electric Dishwasher Fine Filter,PS12582698,WD12X24656,27.95,,,,Dishwasher.,,GE,In Stock,,https://www.partselect.com/PS12582698-GE-WD12X24656-FINE-FILTER.htm?SourceCode=18
General Electric Dishwasher Filter Fine Assembly,PS3511267,WD12X10357,26.16,,,Not cleaning dishes properly,Dishwasher.,,GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS3511267-GE-WD12X10357-Filter-Fine-Assembly.htm?SourceCode=18
General Electric Dishwasher Sump Filter And Cover,PS2370522,WD22X10077,52.42,,,Not cleaning dishes properly | Not draining | Leaking,Dishwasher.,"AP4484685, 1556549, WD08X10076, WD12X10049, WD12X10108, WD22X10028, WD22X10034, WD22X10061, WD22X10074",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS2370522-GE-WD22X10077-Dishwasher-Sump-Filter-And-Cover.htm?SourceCode=18
General Electric Dishwasher User Cleanable Fine Filter,PS12741266,WD22X25463,27.95,,,,Dishwasher.,"WD12X22937, WD12X23736, WD12X23737",GE,In Stock,,https://www.partselect.com/PS12741266-GE-WD22X25463-USER-CLEANABLE-FINE-FILTER.htm?SourceCode=18
General Electric Dishwasher Refrigerator Recess Door Spring,PS285013,WR02X10585,13.95,,,Door latch failure | Door Sweating | Ice maker won’t dispense ice | Door won’t open or close,"Refrigerator, Dishwasher.","AP3670155, 879075, WR2X10585",GE,In Stock,https://www.youtube.com/watch?v=xIICeXtGPWs,https://www.partselect.com/PS285013-GE-WR02X10585-Refrigerator-Recess-Door-Spring.htm?SourceCode=18
General Electric Dishwasher Door,PS8768365,WD03X20446,19.95,,,,Dishwasher.,WD03X10037,GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS8768365-GE-WD03X20446-Dishwasher-Door.htm?SourceCode=18
General Electric Dishwasher Spring Door,PS11700869,WD03X20445,16.95,,,,Dishwasher.,WD03X10036,GE,In Stock,,https://www.partselect.com/PS11700869-GE-WD03X20445-SPRING-DOOR.htm?SourceCode=18
General Electric Dishwasher Door Spring,PS9493056,WD03X20316,20.95,,,,Dishwasher.,WD03X10038,GE,In Stock,https://www.youtube.com/watch?v=iYTwilFH1m0,https://www.partselect.com/PS9493056-GE-WD03X20316-Door-Spring.htm?SourceCode=18
General Electric Dishwasher Door Spring,PS16618932,WD02X29758,13.95,,,,Dishwasher.,,GE,In Stock,,https://www.partselect.com/PS16618932-GE-WD02X29758-DOOR-SPRING.htm?SourceCode=18
General Electric Dishwasher Spring Plunger,PS1019010,WD03X10026,16.95,,,Will Not Start | Door latch failure,Dishwasher.,"AP3872943, 1168253, WD03X10025",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS1019010-GE-WD03X10026-Dishwasher-Spring-Plunger.htm?SourceCode=18
General Electric Dishwasher Door Hinge Spring,PS1481850,WD03X10030,5.95,,,,Dishwasher.,,GE,Special Order,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS1481850-GE-WD03X10030-Door-Hinge-Spring.htm?SourceCode=18
General Electric Dishwasher Spring Set,PS263840,WD3X721,57.37,,,,Dishwasher.,"AP2038709, 272535, WD02X0256, WD02X0258, WD2X256, WD2X258",GE,In Stock,,https://www.partselect.com/PS263840-GE-WD3X721-SPRING-SET.htm?SourceCode=18
General Electric Dishwasher Spring Timer Lever,PS8756147,WD03X10034,13.95,,,,Dishwasher.,,GE,In Stock,,https://www.partselect.com/PS8756147-GE-WD03X10034-SPRING-TIMER-LEVER.htm?SourceCode=18
General Electric Dishwasher Detergent Cup Door Spring,PS263846,WD3X764,46.95,,,Will not dispense detergent | Door latch failure,Dishwasher.,"AP2038733, 272552, WD03X0764, WD03X764",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS263846-GE-WD3X764-Detergent-Cup-Door-Spring.htm?SourceCode=18
General Electric Dishwasher Upper Dishrack W/wheels,PS8690632,WD28X10399,164.3,,,,Dishwasher.,"AP5781495, WD28X10164, WD28X10167, WD28X10214, WD28X10287, WD28X10336",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS8690632-GE-WD28X10399-Dishwasher-Upper-Dishrack-w-Wheels.htm?SourceCode=18
General Electric Dishwasher Cup Shelf,PS16729158,WD12X30218,13.95,,,,Dishwasher.,,GE,In Stock,,https://www.partselect.com/PS16729158-GE-WD12X30218-CUP-SHELF.htm?SourceCode=18
General Electric Dishwasher Shelf Cup,PS8756458,WD28X10350,24.95,,,,Dishwasher.,,GE,In Stock,https://www.youtube.com/watch?v=EJMDY_z5EhE,https://www.partselect.com/PS8756458-GE-WD28X10350-Dishwasher-Shelf-Cup.htm?SourceCode=18
General Electric Dishwasher Shelf Cup,PS8756518,WD28X20177,18.95,,,,Dishwasher.,,GE,Special Order,,https://www.partselect.com/PS8756518-GE-WD28X20177-SHELF-CUP.htm?SourceCode=18
General Electric Dishwasher Shelf Cup,PS12295780,WD28X22941,22.95,,,,Dishwasher.,,GE,Special Order,,https://www.partselect.com/PS12295780-GE-WD28X22941-SHELF-CUP.htm?SourceCode=18
General Electric Dishwasher Shelf Cup,PS11774497,WD28X22831,13.95,,,,Dishwasher.,,GE,Special Order,,https://www.partselect.com/PS11774497-GE-WD28X22831-SHELF-CUP.htm?SourceCode=18
